Year, Month, Monthly_MSL
1959,2,-0.327
1959,3,-0.362
1959,4,-0.223
1959,5,-0.227
1959,6,-0.277
1959,7,-0.299
1959,8,-0.266
1959,9,-0.317
1959,10,-0.309
1959,11,-0.341
1959,12,-0.286
1960,1,-0.246
1960,2,-0.232
1960,3,-0.216
1960,4,-0.186
1960,5,-0.203
1960,6,-0.225
1960,7,-0.269
1960,8,-0.235
1960,9,-0.101
1960,10,-0.254
1960,11,-0.274
1960,12,-0.265
1961,1,-0.270
1961,2,-0.266
1961,3,-0.268
1961,4,-0.308
1961,5,-0.276
1961,6,-0.216
1961,7,-0.229
1961,8,-0.189
1961,9,-0.183
1961,10,-0.251
1961,11,-0.307
1961,12,-0.314
1962,1,-0.291
1962,2,-0.299
1962,3,-0.320
1962,4,-0.244
1962,5,-0.191
1962,6,-0.216
1962,7,-0.250
1962,8,-0.247
1962,9,-0.247
1962,10,-0.242
1962,11,-0.262
1962,12,-0.283
1963,1,-0.319
1963,2,-0.309
1963,3,-0.286
1963,4,-0.189
1963,5,-0.209
1963,6,-0.237
1963,7,-0.269
1963,8,-0.238
1963,9,-0.269
1963,10,-0.264
1963,11,-0.274
1963,12,-0.304
1964,1,-0.340
1964,2,-0.351
1964,3,-0.329
1964,4,-0.339
1964,5,-0.294
1964,6,-0.262
1964,7,-0.223
1964,8,-0.205
1964,9,-0.217
1964,10,-0.203
1964,11,-0.192
1964,12,-0.243
1965,1,-0.258
1965,2,-0.232
1965,3,-0.222
1965,4,-0.241
1965,5,-0.242
1965,6,-0.249
1965,7,-0.238
1965,8,-0.241
1965,9,-0.229
1965,10,-0.267
1965,11,-0.304
1965,12,-0.356
1966,1,-0.340
1966,2,-0.449
1966,3,-0.359
1966,4,-0.327
1966,5,-0.337
1966,6,-0.292
1966,7,-0.278
1966,8,-0.287
1966,9,-0.308
1966,10,-0.312
1966,11,-0.286
1966,12,-0.356
1967,1,-0.346
1967,2,-0.284
1967,3,-0.277
1967,4,-0.186
1967,5,-0.169
1967,6,-0.204
1967,7,-0.226
1967,8,-0.302
1967,9,-0.275
1967,10,-0.261
1967,11,-0.262
1967,12,-0.250
1968,1,-0.224
1968,2,-0.254
1968,3,-0.298
1968,4,-0.305
1968,5,-0.270
1968,6,-0.265
1968,7,-0.247
1968,8,-0.238
1968,9,-0.278
1968,10,-0.224
1968,11,-0.246
1968,12,-0.292
1969,1,-0.233
1969,2,-0.226
1969,3,-0.222
1969,4,-0.266
1969,5,-0.288
1969,6,-0.301
1969,7,-0.320
1969,8,-0.302
1969,9,-0.287
1969,10,-0.288
1969,11,-0.320
1969,12,-0.329
1970,1,-0.313
1970,2,-0.266
1970,3,-0.320
1970,4,-0.293
1970,5,-0.227
1970,6,-0.213
1970,7,-0.195
1970,8,-0.232
1970,9,-0.317
1970,10,-0.322
1970,11,-0.304
1970,12,-0.216
1971,1,-0.172
1971,2,-0.144
1971,3,-0.143
1971,4,-0.125
1971,5,-0.124
1971,6,-0.179
1971,7,-0.195
1971,8,-0.253
1971,9,-0.247
1971,10,-0.233
1971,11,-0.243
1971,12,-0.286
1972,1,-0.246
1972,2,-0.269
1972,3,-0.243
1972,4,-0.238
1972,5,-0.252
1972,6,-0.265
1972,7,-0.253
1972,8,-0.256
1972,9,-0.275
1972,10,-0.264
1972,11,-0.286
1972,12,-0.237
1973,1,-0.258
1973,2,-0.293
1973,3,-0.301
1973,4,-0.302
1973,5,-0.343
1973,6,-0.335
1973,7,-0.333
1973,8,-0.339
1973,9,-0.287
1973,10,-0.334
1973,11,-0.335
1973,12,-0.237
1974,1,-0.218
1974,2,-0.226
1974,3,-0.237
1974,4,-0.162
1974,5,-0.139
1974,6,-0.185
1974,7,-0.202
1974,8,-0.180
1974,9,-0.208
1974,10,-0.273
1974,11,-0.179
1974,12,-0.192
1975,1,-0.264
1975,2,-0.263
1975,3,-0.247
1975,4,-0.232
1975,5,-0.267
1975,6,-0.274
1975,7,-0.287
1975,8,-0.275
1975,9,-0.244
1975,10,-0.215
1975,11,-0.204
1975,12,-0.228
1976,1,-0.206
1976,2,-0.199
1976,3,-0.195
1976,4,-0.205
1976,5,-0.215
1976,7,-0.202
1976,9,-0.290
1976,10,-0.276
1976,11,-0.243
1976,12,-0.207
1977,1,-0.249
1977,2,-0.257
1977,3,-0.256
1977,4,-0.287
1977,5,-0.267
1977,6,-0.289
1977,7,-0.314
1977,8,-0.314
1977,9,-0.339
1977,10,-0.331
1977,11,-0.280
1977,12,-0.320
1978,1,-0.340
1978,2,-0.345
1978,3,-0.372
1978,4,-0.403
1978,11,-0.270
1979,1,-0.273
1979,3,-0.241
1979,4,-0.248
1979,5,-0.239
1979,6,-0.200
1979,7,-0.207
1979,8,-0.208
1979,9,-0.259
1979,10,-0.220
1979,11,-0.216
1979,12,-0.262
1980,1,-0.252
1980,2,-0.321
1980,3,-0.243
1980,4,-0.241
1980,5,-0.325
1980,6,-0.292
1980,7,-0.269
1980,8,-0.192
1980,9,-0.183
1980,10,-0.154
1980,11,-0.173
1980,12,-0.151
1981,1,-0.209
1981,2,-0.248
1981,3,-0.292
1981,4,-0.253
1981,6,-0.301
1981,11,-0.192
1981,12,-0.195
1982,1,-0.215
1982,2,-0.181
1982,3,-0.137
1982,4,-0.122
1982,5,-0.166
1982,6,-0.172
1982,7,-0.192
1982,8,-0.220
1982,9,-0.256
1982,10,-0.248
1982,11,-0.286
1982,12,-0.289
1983,1,-0.297
1983,2,-0.324
1983,3,-0.390
1983,4,-0.439
1983,5,-0.495
1983,6,-0.481
1983,7,-0.421
1983,8,-0.403
1983,9,-0.366
1983,10,-0.367
1983,11,-0.304
1983,12,-0.274
1984,1,-0.300
1984,2,-0.248
1984,3,-0.267
1984,4,-0.253
1984,5,-0.160
1984,6,-0.204
1984,7,-0.253
1984,8,-0.272
1984,9,-0.217
1984,10,-0.239
1984,11,-0.253
1984,12,-0.228
1985,1,-0.252
1985,2,-0.181
1985,3,-0.091
1985,4,-0.098
1985,5,-0.139
1985,7,-0.174
1985,8,-0.208
1985,9,-0.217
1985,10,-0.218
1985,11,-0.277
1985,12,-0.234
1986,1,-0.224
1986,2,-0.202
1986,3,-0.231
1986,4,-0.247
1986,5,-0.200
1986,6,-0.149
1986,7,-0.153
1986,8,-0.202
1986,9,-0.186
1986,10,-0.251
1986,11,-0.213
1986,12,-0.213
1987,1,-0.270
1987,2,-0.238
1987,3,-0.298
1987,4,-0.366
1987,5,-0.422
1987,6,-0.317
1987,7,-0.256
1987,8,-0.275
1987,9,-0.263
1987,10,-0.254
1987,11,-0.262
1987,12,-0.237
1988,1,-0.249
1988,2,-0.260
1988,3,-0.314
1988,4,-0.296
1988,5,-0.337
1988,6,-0.359
1988,7,-0.311
1988,8,-0.226
1988,9,-0.220
1988,10,-0.218
1988,11,-0.213
1988,12,-0.173
1989,1,-0.244
1989,2,-0.177
1989,3,-0.155
1989,4,-0.186
1989,5,-0.175
1989,6,-0.246
1989,7,-0.253
1989,8,-0.287
1989,9,-0.269
1989,10,-0.251
1989,11,-0.243
1989,12,-0.277
1990,1,-0.261
1990,2,-0.223
1990,3,-0.228
1990,4,-0.269
1990,5,-0.285
1990,6,-0.192
1990,7,-0.192
1990,8,-0.220
1990,9,-0.211
1990,10,-0.181
1990,11,-0.164
1990,12,-0.225
1991,1,-0.203
1991,2,-0.162
1991,3,-0.155
1991,4,-0.196
1991,5,-0.178
1991,6,-0.185
1991,7,-0.232
1991,8,-0.183
1991,9,-0.186
1991,10,-0.221
1991,11,-0.198
1991,12,-0.286
1992,1,-0.246
1992,2,-0.269
1992,3,-0.292
1992,4,-0.333
1992,5,-0.319
1992,6,-0.307
1992,7,-0.263
1992,8,-0.278
1992,9,-0.250
1992,10,-0.181
1992,11,-0.201
1992,12,-0.152
1993,1,-0.209
1993,2,-0.247
1993,3,-0.210
1993,4,-0.261
1993,5,-0.238
1993,6,-0.258
1993,7,-0.258
1993,8,-0.238
1993,9,-0.262
1993,10,-0.205
1993,11,-0.203
1993,12,-0.216
1994,1,-0.182
1994,2,-0.204
1994,3,-0.195
1994,4,-0.236
1994,5,-0.267
1994,6,-0.243
1994,7,-0.189
1994,8,-0.247
1994,9,-0.235
1994,10,-0.239
1994,11,-0.277
1994,12,-0.222
1995,1,-0.261
1995,2,-0.238
1995,3,-0.244
1995,4,-0.257
1995,5,-0.257
1995,6,-0.240
1995,7,-0.162
1995,8,-0.150
1995,9,-0.162
1995,10,-0.187
1995,11,-0.167
1995,12,-0.183
1996,1,-0.209
1996,2,-0.183
1996,3,-0.161
1996,4,-0.149
1996,5,-0.106
1996,6,-0.121
1996,7,-0.121
1996,8,-0.117
1996,9,-0.124
1996,10,-0.179
1996,11,-0.185
1996,12,-0.173
1997,1,-0.212
1997,2,-0.198
1997,3,-0.150
1997,4,-0.209
1997,5,-0.246
1997,6,-0.241
1997,7,-0.193
1997,8,-0.188
1997,9,-0.194
1997,10,-0.178
1997,11,-0.204
1997,12,-0.237
1998,1,-0.289
1998,2,-0.448
1998,3,-0.470
1998,4,-0.471
1998,5,-0.495
1998,6,-0.435
1998,7,-0.455
1998,8,-0.427
1998,9,-0.407
1998,10,-0.395
1998,11,-0.316
1998,12,-0.277
1999,1,-0.203
1999,2,-0.141
1999,3,-0.099
1999,4,-0.144
1999,5,-0.129
1999,6,-0.126
1999,7,-0.164
1999,8,-0.221
1999,9,-0.164
1999,10,-0.205
1999,11,-0.206
1999,12,-0.179
2000,1,-0.184
2000,2,-0.180
2000,3,-0.143
2000,4,-0.139
2000,5,-0.153
2000,6,-0.198
2000,7,-0.189
2000,8,-0.225
2000,9,-0.212
2000,10,-0.191
2000,11,-0.170
2000,12,-0.148
2001,1,-0.128
2001,2,-0.114
2001,3,-0.110
2001,4,-0.124
2001,5,-0.115
2001,6,-0.160
2001,7,-0.197
2001,8,-0.187
2001,9,-0.173
2001,10,-0.207
2001,11,-0.186
2001,12,-0.206
2002,1,-0.229
2002,2,-0.165
2002,3,-0.162
2002,4,-0.188
2002,5,-0.213
2002,6,-0.191
2002,7,-0.135
2002,8,-0.141
2002,9,-0.184
2002,10,-0.206
2002,11,-0.159
2002,12,-0.142
2003,1,-0.150
2003,2,-0.155
2003,3,-0.183
2003,4,-0.196
2003,5,-0.126
2003,6,-0.184
2003,7,-0.195
2003,8,-0.162
2003,9,-0.177
2003,10,-0.169
2003,11,-0.155
2003,12,-0.139
2004,1,-0.140
2004,2,-0.124
2004,3,-0.128
2004,4,-0.179
2004,5,-0.170
2004,6,-0.111
2004,7,-0.130
2004,8,-0.124
2004,9,-0.114
2004,10,-0.113
2004,11,-0.122
2004,12,-0.170
2005,1,-0.165
2005,2,-0.173
2005,3,-0.329
2005,4,-0.287
2005,5,-0.189
2005,6,-0.185
2005,7,-0.206
2005,8,-0.151
2005,9,-0.130
2005,10,-0.125
2005,11,-0.078
2005,12,-0.137
2006,1,-0.133
2006,2,-0.075
2006,3,-0.073
2006,4,-0.076
2006,5,-0.108
2006,6,-0.111
2006,7,-0.119
2006,8,-0.154
2006,9,-0.174
2006,10,-0.151
2006,11,-0.196
2006,12,-0.174
2007,1,-0.154
2007,2,-0.234
2007,3,-0.208
2007,4,-0.165
2007,5,-0.124
2007,6,-0.106
2007,7,-0.113
2007,8,-0.115
2007,9,-0.145
2007,10,-0.136
2007,11,-0.122
2007,12,-0.190
2008,1,-0.170
2008,2,-0.219
2008,3,-0.174
2008,4,-0.095
2008,5,-0.090
2008,6,-0.097
2008,7,-0.160
2008,8,-0.161
2008,9,-0.198
2008,10,-0.205
2008,11,-0.184
2008,12,-0.147
2009,1,-0.132
2009,2,-0.120
2009,3,-0.106
2009,4,-0.124
2009,5,-0.142
2009,6,-0.187
2009,7,-0.141
2009,8,-0.153
2009,9,-0.163
2009,10,-0.204
2009,11,-0.201
2009,12,-0.186
2010,1,-0.128
2010,2,-0.201
2010,3,-0.220
2010,4,-0.190
2010,5,-0.179
2010,6,-0.120
2010,7,-0.083
2010,8,-0.111
2010,9,-0.111
2010,10,-0.072
2010,11,-0.095
2010,12,-0.028
2011,1,0.012
2011,2,0.024
2011,3,0.019
2011,4,0.015
2011,5,-0.007
2011,6,-0.032
2011,7,-0.035
2011,8,-0.022
2011,9,-0.016
2011,10,-0.035
2011,11,-0.031
2011,12,-0.024
2012,1,-0.001
2012,2,0.009
2012,3,-0.011
2012,4,0.016
2012,5,-0.001
2012,6,-0.081
2012,7,-0.056
2012,8,-0.081
2012,9,-0.057
2012,10,-0.022
2012,11,-0.042
2012,12,-0.060
2013,1,-0.052
2013,2,-0.086
2013,3,-0.099
2013,4,-0.090
2013,5,-0.085
2013,6,-0.009
2013,7,-0.032
2013,8,-0.050
2013,9,-0.018
2013,10,-0.017
2013,11,-0.015
2013,12,-0.032
2014,1,-0.029
2014,2,0.018
2014,3,-0.052
2014,4,-0.109
2014,5,-0.120
2014,6,-0.105
2014,7,-0.014
2014,8,-0.022
2014,9,0.009
2014,10,0.040
2014,11,-0.003
2014,12,-0.019
2015,1,0.008
2015,2,-0.006
2015,3,0.000
2015,4,0.020
2015,5,0.018
2015,6,0.004
2015,7,0.016
2015,8,0.028
2015,9,0.002
2015,10,0.009
2015,11,-0.004
2015,12,-0.017
2016,1,-0.072
2016,2,-0.088
2016,3,-0.106
2016,4,-0.065
2016,5,-0.134
2016,6,-0.102
2016,7,-0.087
2016,8,-0.067
2016,9,-0.027
2016,10,0.066
2016,11,0.049
2016,12,0.101
2017,1,0.110
2017,2,0.063
2017,3,0.093
2017,4,0.011
2017,5,-0.012
2017,6,-0.017
2017,7,-0.037
2017,8,-0.020
2017,9,0.002
2017,10,0.029
2017,11,0.063
2017,12,0.063
2018,1,0.049
2018,2,0.044
2018,3,0.053
2018,4,0.022
2018,5,0.023
2018,6,0.061
2018,7,0.057
2018,8,0.059
2018,9,0.055
2018,10,0.029
2018,11,0.038
2018,12,0.077
2019,1,0.126
2019,2,0.134
2019,3,0.113
2019,4,0.128
2019,5,0.094
2019,6,0.090
2019,7,0.083
2019,8,0.104
2019,9,0.088
2019,10,0.078
2019,11,0.083
2019,12,0.058
2020,1,0.031
2021,9,0.071
2021,10,0.084
2021,11,0.092
2021,12,0.105
2022,1,0.127
2022,2,0.061
2022,3,0.086
2022,4,0.112
2022,5,0.108
2022,6,0.119
2022,7,0.085
2022,8,0.058
2022,9,0.037
2022,10,0.061
2022,11,0.049
2022,12,0.075
2023,1,0.061
2023,2,0.086
2023,3,0.109
2023,4,0.115
2023,5,0.108
2023,6,0.110
2023,7,0.075
2023,8,0.075
2023,9,0.076
2023,10,0.057
2023,11,0.047
2023,12,-0.024
2024,1,0.030
